symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
TCTUSDT,0.00000000,0.000,0.00000000,0.00312000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
WRXBNB,0.00000000,0.000,0.00000000,0.00039800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
WRXBTC,0.00000000,0.000,0.00000000,0.00000455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
WRXUSDT,0.00250000,2.439,0.10539356,0.10270000,0.10500000,2083.30000000,0.10490000,232.70000000,0.10500000,138356.80000000,0.10250000,0.10910000,0.10210000,10369380.10000000,1092865.90767000,1697729088392,1697815488392,44205013,44219797,14785
ICXBUSD,0.00030000,0.183,0.16336372,0.16310000,0.16420000,73.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.16390000,0.16510000,0.16090000,75767.90000000,12377.72574000,1697090443263,1697176843263,7104513,7104627,115
BTSUSDT,0.00002000,0.208,0.00966991,0.00963000,0.00965000,20288.10000000,0.00965000,881.80000000,0.00966000,12662.20000000,0.00963000,0.00985000,0.00951000,65992701.40000000,638143.72160400,1697729087829,1697815487829,18765494,18773291,7798
BTSBUSD,0.00000000,0.000,0.00000000,0.01930000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
LSKUSDT,0.06400000,8.184,0.85668449,0.78400000,0.84600000,208.50000000,0.84500000,373.00000000,0.84600000,547.50000000,0.78200000,0.92000000,0.77600000,2967375.60000000,2542104.64120000,1697729076636,1697815476636,15605065,15624777,19713
BNTUSDT,0.01230000,2.095,0.59527956,0.58740000,0.59940000,246.10000000,0.59940000,394.70000000,0.59950000,218.20000000,0.58710000,0.62330000,0.56930000,13236524.10000000,7879432.23119000,1697729088450,1697815488450,16059265,16098303,39039
BNTBUSD,-0.00270000,-0.745,0.36254864,0.36360000,0.35990000,55.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.36260000,0.36600000,0.35910000,53945.90000000,19558.01291000,1691031608984,1691118008984,1451781,1451981,201
LTOBNB,0.00000000,0.000,0.00000000,0.00248000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
LTOBTC,-0.00000001,-0.529,0.00000190,0.00000189,0.00000188,1915.00000000,0.00000187,58227.00000000,0.00000189,4839.00000000,0.00000189,0.00000194,0.00000186,293248.00000000,0.55584727,1697729001060,1697815401060,9895441,9895655,215
LTOUSDT,0.00140000,2.578,0.05522145,0.05420000,0.05570000,4000.00000000,0.05560000,4317.00000000,0.05570000,1651.00000000,0.05430000,0.05670000,0.05400000,4172531.00000000,230413.20790000,1697729001736,1697815401736,28140898,28143319,2422
ATOMBUSD,0.17400000,2.793,6.31228032,6.22700000,6.40300000,30.84000000,6.40400000,32.81000000,6.40800000,9.66000000,6.22900000,6.48100000,6.19400000,44863.00000000,283187.83199000,1697729080216,1697815480216,38075113,38076782,1670
DASHBUSD,0.30000000,1.175,25.63722571,25.56000000,25.83000000,2.27400000,0.00000000,0.00000000,0.00000000,0.00000000,25.53000000,25.94000000,25.32000000,469.98700000,12049.16280000,1694660412225,1694746812225,5922471,5922682,212
NEOBUSD,0.00000000,0.000,6.72454420,6.72000000,6.73000000,7.85000000,0.00000000,0.00000000,0.00000000,0.00000000,6.73000000,6.76000000,6.63000000,722.46000000,4858.21420000,1697090456520,1697176856520,7469656,7469768,113
